C1_D1_1,C1_D_340275
C1_D1_2,C1_D_340263
C1_D1_3,C1_D_340245
C1_D2_1,C1_D_340266
C1_D2_2,C1_D_340233
C1_D2_3,C1_D_340271
C1_S1_1,C1_S_340270
C1_S1_2,C1_S_340246
C1_S1_3,C1_S_340240
C1_S2_1,C1_S_340282
C1_S2_2,C1_S_340258
C1_S2_3,C1_S_340259
C1_X1_1,C1_X_340249
C1_X1_2,C1_X_340232
C1_X1_3,C1_X_340237
C1_X2_1,C1_X_340243
C1_X2_2,C1_X_340244
C1_X2_3,C1_X_340241
C2_D1_1,C2_D_340277
C2_D1_2,C2_D_340278
C2_D1_3,C2_D_340254
C2_D2_1,C2_D_340267
C2_D2_2,C2_D_340235
C2_D2_3,C2_D_340236
C2_S1_1,C2_S_340281
C2_S1_2,C2_S_340251
C2_S1_3,C2_S_340256
C2_S2_1,C2_S_340238
C2_S2_2,C2_S_340234
C2_S2_3,C2_S_340229
C2_X1_1,C2_X_340230
C2_X1_2,C2_X_340250
C2_X1_3,C2_X_340239
C2_X2_1,C2_X_340262
C2_X2_2,C2_X_340265
C2_X2_3,C2_X_340257
C3_D1_1,C3_D_340268
C3_D1_2,C3_D_340255
C3_D1_3,C3_D_340273
C3_D2_1,C3_D_340269
C3_D2_2,C3_D_340252
C3_D2_3,C3_D_340264
C3_S1_1,C3_S_340279
C3_S1_2,C3_S_340280
C3_S1_3,C3_S_340253
C3_S2_1,C3_S_340276
C3_S2_2,C3_S_340260
C3_S2_3,C3_S_340272
C3_X1_1,C3_X_340247
C3_X1_2,C3_X_340248
C3_X1_3,C3_X_340242
C3_X2_1,C3_X_340261
C3_X2_2,C3_X_340274
C3_X2_3,C3_X_340231